,GSM476089,GSM476090,GSM476091,GSM476092,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
EMP24,14.09194326,14.02824842,13.99979553,14.10660242,7.567,9.3758,6.6622,9.6407,8.0542,7.5575,7.5677,8.306,7.4085,8.8107,9.3142
END3,13.08147538,13.03357179,13.19323387,13.00309472,1.3111,1.2033,1.1579,1.1814,1.407,1.035,0.9438,0.93,1.256,1.0429,1.3446
ENT1,13.03245809,12.98103338,12.93729248,13.01193281,3.5897,3.2678,3.23,3.1376,3.4047,2.7621,3.1512,3.4526,3.5416,2.6585,3.5474
EPL1,12.251293,11.90577724,11.85430401,11.51012347,0.3451,0.4055,0.3628,0.5112,0.5247,0.3569,0.3459,0.3906,0.3414,0.2936,0.4216
ERD2,13.98841185,13.94704062,14.09127035,13.9379518,8.3308,9.0837,8.2359,9.0233,7.8283,8.411,8.429,7.8557,7.5784,9.4615,8.1045
ERF2,11.33479653,11.15680253,11.4645791,11.57126817,0.8107,0.7202,0.9702,0.7732,1.1306,1.4697,1.2913,0.4876,0.6965,0.6912,0.6159
ERG1,12.26143793,11.96183692,12.15670365,12.21415321,5.2106,5.4917,4.4287,4.1921,3.0759,1.4301,1.4699,2.9467,3.1645,3.0447,4.6864
ERG11,13.6687617,13.55668582,13.45478333,13.47270345,8.541,8.5129,8.0846,7.7786,6.977,3.0393,3.1037,7.055,7.0015,7.8806,10.4769
ERG12,12.39478126,12.43701339,12.35014806,12.56254243,5.2535,5.3357,5.4379,5.9236,7.1399,6.0734,5.5335,5.5297,5.4818,5.5162,5.367
ERG2,13.97364262,14.13420623,14.0328549,14.0220553,6.9137,7.1156,6.2958,7.4052,7.2751,7.128,7.3536,8.5882,8.1401,8.4428,8.4422
ERG24,12.25375662,12.28253832,12.2684384,12.59784153,2.9651,2.1765,2.9442,2.3293,4.0289,4.4183,3.977,3.4564,2.926,2.4834,3.6926
ERG25,12.98507358,13.06499028,13.05138106,13.14903029,9.4554,7.2613,8.5325,8.3134,11.0611,7.0558,7.5031,8.1391,8.8062,9.5929,8.7734
ERG27,13.61315859,13.53983343,13.71311741,13.80692006,3.4917,3.2906,3.1935,4.1081,4.6904,4.2491,4.3447,5.1847,4.1982,4.5933,5.2392
ERG28,13.62288406,13.57932388,13.67728226,13.45227047,15.1294,16.8575,13.6466,15.9997,16.3026,16.923,17.1965,16.5902,16.0926,14.9308,14.7225
