ID,adj.P.Val,P.Value,t,B,logFC,Gene Symbol
1769575_at,0.46518561726206,0.112890945916818,-1.84094602709444,-8.85638540461058,-0.154879277499999,VPS60
1773449_at,0.465451120211887,0.112997970527282,1.84027484187664,-8.85731627094871,0.0934823125000008,AVT2
1772448_at,0.466486792552674,0.113292088894107,-1.83843354342725,-8.85986944194144,-0.177212225000002,FLC1
1775904_at,0.466579603043051,0.113387714551936,-1.83783589983162,-8.86069797753101,-0.314759594999998,GAT2
1772405_at,0.466579603043051,0.113400020651752,1.83775902481466,-8.86080454632943,0.0984860950000002,FRA1
1769653_s_at,0.467056772610588,0.113558733970199,-1.83676829149507,-8.86217784024724,-0.275749459250003,BUD5
1769782_at,0.467119843282419,0.11361681400482,1.836406079294,-8.86267986074182,0.139461205,CBP3
1772047_at,0.467175786355828,0.113678996057016,-1.83601848658417,-8.86321702503881,-0.0969366525000002,AVT4
1777376_at,0.46827747994262,0.114026937603158,1.83385353296819,-8.86621679946868,0.318329670000001,PTR2
1780014_at,0.469545827685971,0.114420300322915,-1.83141375537922,-8.86959608203932,-0.117471632499999,YMR31
1772589_at,0.469545827685971,0.114421718441411,1.83140497459378,-8.86960824163712,0.659747006999998,ART5
1771323_at,0.471310696368814,0.114981178305203,1.82794918145349,-8.87439242636277,0.213865349999999,PAU5
1779787_at,0.471963402019448,0.115183601133407,1.82670287359611,-8.87611712976061,0.188716045000001,RPL21A
1771215_at,0.472184821472923,0.115280847702211,-1.8261048945078,-8.8769445148902,-0.0538838649999995,MET22
1772342_at,0.473335896762556,0.115613097814491,-1.82406557897936,-8.8797655567725,-0.2310785575,MGT1
1779114_at,0.473335896762556,0.115648503326869,1.82384860253095,-8.88006564909182,0.0993696100000001,RSR1
1774978_at,0.474267802883948,0.11600318729466,-1.82167856969646,-8.88306633606328,-0.254524197499997,PDR17
1780200_at,0.474267802883948,0.116006390657832,1.82165900047023,-8.88309339104657,0.1654515,RPS16A
1774362_at,0.475660523093072,0.116434104984807,1.81905085222353,-8.88669841893693,0.193455754999999,NOP16
1776117_at,0.476712824278783,0.116815110452466,1.81673541915396,-8.88989750332954,0.169587187499999,MFA2
1776959_at,0.476712824278783,0.116819473520721,-1.81670894691712,-8.88993407095855,-0.134611592499999,CDC10
1777980_at,0.476712824278783,0.11683000215941,-1.81664507002856,-8.89002230710694,-0.154196189999999,DCP1
1777796_at,0.476712824278783,0.116866183770393,1.81642560039505,-8.89032546343938,0.593350831,TEA1
1779360_at,0.47689479444584,0.116954433484156,1.81589057606497,-8.89106445170362,0.207328173500002,FOL1
1776896_at,0.477615170435813,0.117174805265228,1.81455626977119,-8.89290713025741,0.249062989999999,SPE4
1774880_at,0.478283149900579,0.117382449490607,-1.81330127183561,-8.89463989631385,-0.237356522500001,SFT1
1779140_at,0.479215321189491,0.117742783436474,-1.81112856713598,-8.89763884209755,-0.211932655,PRS2
1780192_at,0.480525461113102,0.118108655614,-1.80892911407928,-8.9006735534537,-0.210651282500001,RNA14
1779075_at,0.481065291586914,0.118285362234081,-1.80786922153794,-8.90213553161287,-0.3019705065,OPT2
1777650_at,0.481209713305488,0.118364907518773,-1.80739261138788,-8.9027928622797,-0.0505820599999982,ZRC1
1773649_at,0.481708082335219,0.118533433331271,-1.8063838918291,-8.90418388573405,-0.244603305749999,FUR4
1775791_at,0.481708082335219,0.118656764795154,1.80564657337789,-8.90520049128731,0.0876703274999997,CAK1
1776258_at,0.481708082335219,0.118724252498646,-1.80524342544781,-8.90575629087356,-0.152495542500001,SED1
1778627_at,0.481708082335219,0.118751974177442,1.80507789073826,-8.90598449374239,0.0713311075000007,RPB3
