,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
BCL2L1,3.1301671,3.1301671,3.1829709,3.0071157,3.902765,4.50907445,3.66564155,1.53231955,3.26824045,3.99046865
BCL2L11,0.1816182965,0.1816182965,0.2481884,0.24193549,0.325806425,0.19555355,0.2346221385,0.2309886,0.138197429,0.283558377
BCL2L2,2.7080035,2.7080035,2.5643115,3.4696395,3.2663593,2.6887476,2.7855887,2.228137,2.9802575,1.9269261
BCL3,10.314864,10.314864,9.619565,10.143264,8.239632,7.762251,8.498242,8.250951,6.860086,6.3947573
BCL6,0.848138453333333,0.848138453333333,0.712258433666667,0.802656526666667,0.799692815,0.619479706,0.900703003333333,1.3580482,0.836623778,0.749271911666667
BCL7A,2.6007037,2.6007037,2.307065,2.1650853,1.5788019,2.5789475,2.5070298,2.6644487,2.1339056,2.567911
BCL7B,6.2418647,6.2418647,8.300725,7.101518,7.0064516,7.0172415,5.934095,7.3830805,6.5141635,5.8054013
BCL9,2.8460863,2.8460863,2.9710145,2.6546488,2.329954,4.3647914,4.1977153,4.600761,4.6755366,2.7490072
BCLAF1,5.8522434,5.8522434,10.660326,11.30835,7.0903225,4.5172415,6.8813705,7.095058,5.140773,4.9158063
BCR,2.6042217,2.6042217,2.72901565,2.5390577,2.89677413333333,2.50529345,2.855594595,2.44851098,3.14949935,2.41236432333333
BCS1L,3.5637646,3.5637646,2.794384,4.0910816,3.2405531,4.027223,3.1405973,3.7224338,3.3699572,2.8173153
BDH1,2.4344766,2.4344766,3.0824273,2.3206832,2.7880185,2.6352088,2.7091386,3.334601,2.5193133,2.0826054
BDKRB1,0.3861038,0.3861038,0.17753623,0.1280835,0.40552995,0.20508169,0.28295255,0.2671103,0.2583691,0.08498808
BDKRB2,0.399736165,0.399736165,0.389039845,0.34108161,0.314285718,0.40199635,0.322495595,0.46768064,0.306008585,0.5766481
BDNF,0.072119618,0.072119618,0.0733695635,0.10056926,0.0447004625,0.263611635,0.03910369,0.122623583,0.062231756,0.206115962
